Date,closing_price,adj_close_price,Tweets
17/02/15,112.650002,108.380096,
18/02/15,105.760002,101.751259,
19/02/15,103.120003,99.211334,
20/02/15,103.739998,99.807816,
21/02/15,109.690002,105.532295,
22/02/15,112.919998,108.639862,
23/02/15,113.290001,108.995834,
24/02/15,112.760002,108.485931,
25/02/15,107.720001,103.636963,
26/02/15,112.339996,108.081833,
27/02/15,110.370003,106.186516,
28/02/15,109.269997,105.128212,
01/03/15,112.309998,108.052979,
02/03/15,110.150002,105.974854,
03/03/15,112.57,108.303116,
04/03/15,114.209999,109.880959,
05/03/15,115.309998,110.939262,
06/03/15,116.279999,111.872498,
07/03/15,116.410004,111.997581,
08/03/15,113.919998,109.601952,
09/03/15,113.449997,109.149773,
10/03/15,115.209999,110.843056,
11/03/15,113.400002,109.101662,
12/03/15,114.32,109.986801,
13/03/15,115,110.641022,
14/03/15,114.709999,110.362015,
15/03/15,112.440002,108.178062,
16/03/15,109.059998,104.926178,
17/03/15,110.300003,106.119179,
18/03/15,109.580002,105.42646,
19/03/15,110.379997,106.196136,
20/03/15,110.779999,106.580978,
21/03/15,111.309998,107.090881,
22/03/15,110.779999,106.580978,
23/03/15,109.5,105.349495,
24/03/15,112.120003,107.870178,
25/03/15,111.599998,107.369888,
26/03/15,111.790001,107.552696,
27/03/15,110.209999,106.032578,
28/03/15,111.860001,107.620049,
29/03/15,111.040001,106.831116,
30/03/15,111.730003,107.494957,
31/03/15,113.769997,109.457634,
01/04/15,113.760002,109.448021,
02/04/15,115.5,111.122078,
03/04/15,119.080002,114.566376,
04/04/15,115.279999,110.910416,
05/04/15,114.550003,110.208076,
06/04/15,119.269997,114.749161,
07/04/15,120.529999,115.961411,
08/04/15,119.5,114.970459,
09/04/15,121.18,116.586769,
10/04/15,122.57,117.924095,
11/04/15,122,117.375694,
12/04/15,120.919998,116.834602,
13/04/15,121.059998,116.969872,
14/04/15,120.57,116.496429,
15/04/15,116.769997,112.824814,
16/04/15,116.110001,112.187119,
17/04/15,115.720001,111.810295,
18/04/15,112.339996,108.544479,
19/04/15,114.18,110.322327,
20/04/15,113.690002,109.848885,
21/04/15,117.290001,113.327248,
22/04/15,118.779999,114.766914,
23/04/15,119.300003,115.269348,
24/04/15,117.75,113.771706,
25/04/15,118.879997,114.863525,
26/04/15,118.029999,114.042252,
27/04/15,117.809998,113.829681,
28/04/15,118.300003,114.303123,
29/04/15,117.339996,113.375557,
30/04/15,116.279999,112.351372,
01/05/15,115.199997,111.307861,
02/05/15,119.029999,115.008461,
03/05/15,118.279999,114.283798,
04/05/15,118.230003,114.235489,
05/05/15,115.620003,111.713676,
06/05/15,116.169998,112.245087,
07/05/15,113.18,109.356125,
08/05/15,112.480003,108.679771,
09/05/15,110.489998,106.756989,
10/05/15,111.339996,107.57827,
11/05/15,108.980003,105.298019,
12/05/15,106.029999,102.44767,
13/05/15,107.330002,103.703766,
14/05/15,107.230003,103.607155,
15/05/15,108.610001,104.940506,
